Committee Number,Date,Knesset Number,Number Of Male Participants,Number Of Female Participants,Number Of Words Spoken By Males,Males Speaking Average,Number Of Words Spoken By Females,Females Speaking Average,Participants,Json,Json File Name
211,01/30/2017,20,4,0,2585,646,0,0,"['Kisch Yoav', 'Eichler Israel', 'Ben Tzur Yoav', 'Folkman Roy']","{'Kisch Yoav': 1905, 'Eichler Israel': 326, 'Ben Tzur Yoav': 78, 'Folkman Roy': 276}",20_ptv_369366.json,
216,02/06/2017,20,7,1,6176,882,1922,1922,"['Kisch Yoav', 'Nahmias-Verbin Ayelet', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Ben Tzur Yoav', 'Hasson Yoel', 'Stern Elazar']","{'Kisch Yoav': 3046, 'Nahmias-Verbin Ayelet': 1922, 'Ohana Amir': 260, 'Eichler Israel': 515, 'Ilatov Robert': 25, 'Ben Tzur Yoav': 210, 'Hasson Yoel': 1697, 'Stern Elazar': 423}",20_ptv_369375.json,
219,02/13/2017,20,7,1,4926,703,0,0,"['Kisch Yoav', 'Bitan David', 'Ohana Amir', 'Eichler Israel', 'Ben Tzur Yoav', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Folkman Roy']","{'Kisch Yoav': 2008, 'Bitan David': 1715, 'Ohana Amir': 0, 'Eichler Israel': 418, 'Ben Tzur Yoav': 10, 'Hasson Yoel': 754, 'Moalem-Refaeli Shuli': 0, 'Folkman Roy': 21}",20_ptv_369382.json,
194,12/20/2016,20,8,3,2278,284,272,90,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Bitan David', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 1785, 'Ohana Amir': 13, 'Eichler Israel': 283, 'Bitan David': 5, 'Hasson Yoel': 139, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 202, 'Neguise Avraham': 1, 'Nahmias-Verbin Ayelet': 70, 'Folkman Roy': 7, 'Stern Elazar': 45}",20_ptv_369388.json,
214,01/31/2017,20,7,0,574,82,0,0,"['Bitan David', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Ben Tzur Yoav', 'Neguise Avraham', 'Folkman Roy']","{'Bitan David': 574, 'Ohana Amir': 0, 'Eichler Israel': 0, 'Ilatov Robert': 0, 'Ben Tzur Yoav': 0, 'Neguise Avraham': 0, 'Folkman Roy': 0}",20_ptv_369968.json,
215,01/31/2017,20,4,1,341,85,0,0,"['Bitan David', 'Ilatov Robert', 'Ben Tzur Yoav', 'Moalem-Refaeli Shuli', 'Neguise Avraham']","{'Bitan David': 341, 'Ilatov Robert': 0, 'Ben Tzur Yoav': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0}",20_ptv_369969.json,
8,01/16/2017,20,3,3,807,269,144,48,"['Kisch Yoav', 'Ben Tzur Yoav', 'Berko Anat', 'Hasson Yoel', 'Nahmias-Verbin Ayelet', 'Swid Revital']","{'Kisch Yoav': 352, 'Ben Tzur Yoav': 0, 'Berko Anat': 0, 'Hasson Yoel': 455, 'Nahmias-Verbin Ayelet': 140, 'Swid Revital': 4}",20_ptv_370021.json,
7,01/16/2017,20,12,5,873,72,76,15,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'German Yael', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Malchieli Michael', 'Maklev Uri', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Swid Revital', 'Saadi Osama', 'Folkman Roy', 'Rozin Michal', 'Stern Elazar']","{'Kisch Yoav': 675, 'Abu Maaruf Abdullah': 0, 'Ilatov Robert': 0, 'Bitan David': 11, 'Ben Tzur Yoav': 0, 'German Yael': 0, 'Hasson Yoel': 98, 'Moalem-Refaeli Shuli': 0, 'Malchieli Michael': 0, 'Maklev Uri': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 7, 'Swid Revital': 21, 'Saadi Osama': 21, 'Folkman Roy': 68, 'Rozin Michal': 48, 'Stern Elazar': 0}",20_ptv_370044.json,
222,02/27/2017,20,10,2,5320,532,741,370,"['Kisch Yoav', 'Folkman Roy', 'Abu Maaruf Abdullah', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 3317, 'Folkman Roy': 714, 'Abu Maaruf Abdullah': 159, 'Ohana Amir': 0, 'Eichler Israel': 426, 'Ilatov Robert': 0, 'Bitan David': 11, 'Ben Tzur Yoav': 0, 'Tibi Ahmad': 411, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 741, 'Stern Elazar': 282}",20_ptv_370486.json,
224,03/06/2017,20,7,0,694,99,0,0,"['Kisch Yoav', 'Amsalem David', 'Bitan David', 'Zohar Miki', 'Hasson Yoel', 'Neguise Avraham', 'Folkman Roy']","{'Kisch Yoav': 375, 'Amsalem David': 0, 'Bitan David': 0, 'Zohar Miki': 0, 'Hasson Yoel': 316, 'Neguise Avraham': 3, 'Folkman Roy': 0}",20_ptv_370593.json,
227,03/14/2017,20,13,2,111,8,19,9,"['Kisch Yoav', 'Ohana Amir', 'Abu Maaruf Abdullah', 'Eichler Israel', 'Ilatov Robert', 'Amsalem David', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 111, 'Ohana Amir': 0, 'Abu Maaruf Abdullah': 0, 'Eichler Israel': 0, 'Ilatov Robert': 0, 'Amsalem David': 0, 'Bitan David': 0, 'Ben Tzur Yoav': 0, 'Hasson Yoel': 0, 'Tibi Ahmad': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 19, 'Folkman Roy': 0, 'Stern Elazar': 0}",20_ptv_381385.json,
228,03/14/2017,20,13,2,8126,625,1405,702,"['Kisch Yoav', 'Ohana Amir', 'Abu Maaruf Abdullah', 'Eichler Israel', 'Ilatov Robert', 'Amsalem David', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 3262, 'Ohana Amir': 730, 'Abu Maaruf Abdullah': 0, 'Eichler Israel': 307, 'Ilatov Robert': 444, 'Amsalem David': 665, 'Bitan David': 27, 'Ben Tzur Yoav': 223, 'Hasson Yoel': 748, 'Tibi Ahmad': 478, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 273, 'Nahmias-Verbin Ayelet': 1405, 'Folkman Roy': 636, 'Stern Elazar': 333}",20_ptv_381389.json,
224,03/06/2017,20,3,0,756,252,0,0,"['Kisch Yoav', 'Amsalem David', 'Hasson Yoel']","{'Kisch Yoav': 664, 'Amsalem David': 62, 'Hasson Yoel': 30}",20_ptv_381415.json,
184,12/14/2016,20,2,0,602,301,0,0,"['Kisch Yoav', 'Tibi Ahmad']","{'Kisch Yoav': 569, 'Tibi Ahmad': 33}",20_ptv_381784.json,
186,12/15/2016,20,4,0,109,27,0,0,"['Kisch Yoav', 'Amsalem David', 'Zohar Miki', 'Tibi Ahmad']","{'Kisch Yoav': 109, 'Amsalem David': 0, 'Zohar Miki': 0, 'Tibi Ahmad': 0}",20_ptv_381785.json,
187,12/15/2016,20,2,0,60,30,0,0,"['Kisch Yoav', 'Folkman Roy']","{'Kisch Yoav': 60, 'Folkman Roy': 0}",20_ptv_381787.json,
188,12/15/2016,20,6,0,532,88,0,0,"['Kisch Yoav', 'Amsalem David', 'Bitan David', 'Zohar Miki', 'Tibi Ahmad', 'Folkman Roy']","{'Kisch Yoav': 213, 'Amsalem David': 222, 'Bitan David': 96, 'Zohar Miki': 0, 'Tibi Ahmad': 1, 'Folkman Roy': 0}",20_ptv_381788.json,
189,12/15/2016,20,3,0,21,7,0,0,"['Bitan David', 'Zohar Miki', 'Tibi Ahmad']","{'Bitan David': 17, 'Zohar Miki': 0, 'Tibi Ahmad': 4}",20_ptv_381789.json,
229,03/15/2017,20,8,0,3095,386,0,0,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Tibi Ahmad', 'Neguise Avraham', 'Folkman Roy']","{'Kisch Yoav': 1216, 'Abu Maaruf Abdullah': 0, 'Ilatov Robert': 1674, 'Bitan David': 86, 'Ben Tzur Yoav': 1, 'Tibi Ahmad': 0, 'Neguise Avraham': 117, 'Folkman Roy': 1}",20_ptv_382065.json,
23,03/15/2017,20,4,0,556,139,0,0,"['Kisch Yoav', 'Bitan David', 'Ben Tzur Yoav', 'Tibi Ahmad']","{'Kisch Yoav': 429, 'Bitan David': 85, 'Ben Tzur Yoav': 0, 'Tibi Ahmad': 42}",20_ptv_382068.json,
232,03/20/2017,20,2,0,83,41,0,0,"['Kisch Yoav', 'Neguise Avraham']","{'Kisch Yoav': 82, 'Neguise Avraham': 1}",20_ptv_382074.json,
237,03/21/2017,20,5,1,76,15,0,0,"['Kisch Yoav', 'Ohana Amir', 'Bitan David', 'Ben Tzur Yoav', 'Moalem-Refaeli Shuli', 'Neguise Avraham']","{'Kisch Yoav': 76, 'Ohana Amir': 0, 'Bitan David': 0, 'Ben Tzur Yoav': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0}",20_ptv_382075.json,
238,03/21/2017,20,4,0,919,229,0,0,"['Kisch Yoav', 'Bitan David', 'Ben Tzur Yoav', 'Stern Elazar']","{'Kisch Yoav': 272, 'Bitan David': 494, 'Ben Tzur Yoav': 36, 'Stern Elazar': 117}",20_ptv_382076.json,
239,03/22/2017,20,2,0,490,245,0,0,"['Kisch Yoav', 'Ilatov Robert']","{'Kisch Yoav': 488, 'Ilatov Robert': 2}",20_ptv_382077.json,
13,03/20/2017,20,8,5,2868,358,118,23,"['Kisch Yoav', 'Eichler Israel', 'Bitan David', 'Ben Tzur Yoav', 'Berko Anat', 'German Yael', 'Hasson Yoel', 'Maklev Uri', 'Nahmias-Verbin Ayelet', 'Swid Revital', 'Saadi Osama', 'Folkman Roy', 'Rozin Michal']","{'Kisch Yoav': 2114, 'Eichler Israel': 51, 'Bitan David': 59, 'Ben Tzur Yoav': 274, 'Berko Anat': 0, 'German Yael': 99, 'Hasson Yoel': 87, 'Maklev Uri': 150, 'Nahmias-Verbin Ayelet': 17, 'Swid Revital': 0, 'Saadi Osama': 59, 'Folkman Roy': 74, 'Rozin Michal': 2}",20_ptv_382177.json,
233,03/21/2017,20,1,1,634,634,307,307,"['Kisch Yoav', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 634, 'Nahmias-Verbin Ayelet': 307}",20_ptv_382226.json,
231,03/20/2017,20,10,1,6198,619,182,182,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Tibi Ahmad', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 4408, 'Ohana Amir': 0, 'Eichler Israel': 0, 'Ilatov Robert': 10, 'Bitan David': 208, 'Ben Tzur Yoav': 0, 'Hasson Yoel': 1274, 'Tibi Ahmad': 291, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 182, 'Folkman Roy': 7}",20_ptv_382227.json,
1,03/01/2017,20,4,1,3624,906,1254,1254,"['Kisch Yoav', 'Maklev Uri', 'Ilatov Robert', 'German Yael', 'Hasson Yoel']","{'Kisch Yoav': 1744, 'Maklev Uri': 1269, 'Ilatov Robert': 7, 'German Yael': 1254, 'Hasson Yoel': 604}",20_ptv_382237.json,
221,02/20/2017,20,8,2,4122,515,1049,524,"['Kisch Yoav', 'Ohana Amir', 'Bitan David', 'Ben Tzur Yoav', 'Hasson Yoel', 'Tibi Ahmad', 'Michaeli Merav', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 1440, 'Ohana Amir': 345, 'Bitan David': 639, 'Ben Tzur Yoav': 5, 'Hasson Yoel': 511, 'Tibi Ahmad': 649, 'Michaeli Merav': 513, 'Nahmias-Verbin Ayelet': 536, 'Folkman Roy': 0, 'Stern Elazar': 533}",20_ptv_382316.json,
235,03/21/2017,20,1,1,566,566,1446,1446,"['Kisch Yoav', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 566, 'Nahmias-Verbin Ayelet': 1446}",20_ptv_382319.json,
236,03/21/2017,20,3,1,1800,600,224,224,"['Kisch Yoav', 'Ohana Amir', 'Bitan David', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 1627, 'Ohana Amir': 0, 'Bitan David': 173, 'Nahmias-Verbin Ayelet': 224}",20_ptv_382320.json,
9,02/21/2017,20,2,1,8958,4479,1630,1630,"['Kisch Yoav', 'German Yael', 'Hasson Yoel']","{'Kisch Yoav': 7536, 'German Yael': 1630, 'Hasson Yoel': 1422}",20_ptv_382327.json,
24,04/05/2017,20,6,0,777,129,0,0,"['Bitan David', 'Abu Maaruf Abdullah', 'Ohana Amir', 'Amsalem David', 'Ben Tzur Yoav', 'Tibi Ahmad']","{'Bitan David': 346, 'Abu Maaruf Abdullah': 63, 'Ohana Amir': 10, 'Amsalem David': 137, 'Ben Tzur Yoav': 0, 'Tibi Ahmad': 221}",20_ptv_382482.json,
241,04/05/2017,20,4,1,117,29,5,5,"['Bitan David', 'Ohana Amir', 'Tibi Ahmad', 'Neguise Avraham', 'Nahmias-Verbin Ayelet']","{'Bitan David': 101, 'Ohana Amir': 0, 'Tibi Ahmad': 16, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 5}",20_ptv_382483.json,
226,03/06/2017,20,2,0,241,120,0,0,"['Kisch Yoav', 'Neguise Avraham']","{'Kisch Yoav': 241, 'Neguise Avraham': 0}",20_ptv_382583.json,
248,04/26/2017,20,4,2,438,109,65,32,"['Kisch Yoav', 'Ilatov Robert', 'Amsalem David', 'Ben Tzur Yoav', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 437, 'Ilatov Robert': 0, 'Amsalem David': 0, 'Ben Tzur Yoav': 1, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 65}",20_ptv_382718.json,
249,04/26/2017,20,4,2,374,93,211,105,"['Kisch Yoav', 'Bitan David', 'Ben Tzur Yoav', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham']","{'Kisch Yoav': 146, 'Bitan David': 187, 'Ben Tzur Yoav': 41, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 211, 'Neguise Avraham': 0}",20_ptv_382726.json,
242,04/25/2017,20,9,3,2623,291,616,205,"['Kisch Yoav', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 1418, 'Eichler Israel': 73, 'Ilatov Robert': 5, 'Bitan David': 0, 'Ben Tzur Yoav': 149, 'Tibi Ahmad': 217, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 533, 'Neguise Avraham': 53, 'Nahmias-Verbin Ayelet': 83, 'Folkman Roy': 0, 'Stern Elazar': 708}",20_ptv_382801.json,
243,04/25/2017,20,5,3,183,36,361,120,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 110, 'Ilatov Robert': 0, 'Bitan David': 44, 'Ben Tzur Yoav': 7, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 15, 'Nahmias-Verbin Ayelet': 346, 'Stern Elazar': 22}",20_ptv_382802.json,
246,04/25/2017,20,3,1,1251,417,379,379,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 988, 'Ilatov Robert': 12, 'Bitan David': 251, 'Nahmias-Verbin Ayelet': 379}",20_ptv_382803.json,
234,03/21/2017,20,2,1,3102,1551,999,999,"['Kisch Yoav', 'Eichler Israel', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 2373, 'Eichler Israel': 729, 'Nahmias-Verbin Ayelet': 999}",20_ptv_382824.json,
244,04/25/2017,20,8,3,1878,234,555,185,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 1143, 'Ilatov Robert': 0, 'Bitan David': 391, 'Ben Tzur Yoav': 17, 'Zohar Miki': 22, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 199, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 356, 'Folkman Roy': 9, 'Stern Elazar': 296}",20_ptv_382878.json,
245,04/25/2017,20,6,1,314,52,0,0,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Zohar Miki', 'Michaeli Merav', 'Neguise Avraham']","{'Kisch Yoav': 235, 'Ilatov Robert': 0, 'Bitan David': 76, 'Ben Tzur Yoav': 3, 'Zohar Miki': 0, 'Michaeli Merav': 0, 'Neguise Avraham': 0}",20_ptv_382879.json,
247,04/25/2017,20,6,2,267,44,7,3,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Zohar Miki', 'Moalem-Refaeli Shuli', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 202, 'Ilatov Robert': 0, 'Bitan David': 65, 'Zohar Miki': 0, 'Moalem-Refaeli Shuli': 0, 'Neguise Avraham': 0, 'Nahmias-Verbin Ayelet': 7, 'Folkman Roy': 0}",20_ptv_382880.json,
25,05/04/2017,20,5,1,201,40,0,0,"['Kisch Yoav', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Moalem-Refaeli Shuli']","{'Kisch Yoav': 201, 'Eichler Israel': 0, 'Ilatov Robert': 0, 'Bitan David': 0, 'Ben Tzur Yoav': 0, 'Moalem-Refaeli Shuli': 0}",20_ptv_383056.json,
251,05/04/2017,20,4,0,113,28,0,0,"['Kisch Yoav', 'Ilatov Robert', 'Ben Tzur Yoav', 'Neguise Avraham']","{'Kisch Yoav': 110, 'Ilatov Robert': 0, 'Ben Tzur Yoav': 3, 'Neguise Avraham': 0}",20_ptv_383058.json,
252,05/08/2017,20,7,0,441,63,0,0,"['Kisch Yoav', 'Ohana Amir', 'Eichler Israel', 'Amsalem David', 'Neguise Avraham', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 352, 'Ohana Amir': 0, 'Eichler Israel': 23, 'Amsalem David': 9, 'Neguise Avraham': 7, 'Folkman Roy': 15, 'Stern Elazar': 35}",20_ptv_383347.json,
253,05/08/2017,20,5,0,64,12,0,0,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Neguise Avraham', 'Folkman Roy']","{'Kisch Yoav': 64, 'Ilatov Robert': 0, 'Bitan David': 0, 'Neguise Avraham': 0, 'Folkman Roy': 0}",20_ptv_383348.json,
12,03/14/2017,20,9,4,3153,350,23,5,"['Kisch Yoav', 'Eichler Israel', 'Ilatov Robert', 'Bitan David', 'Ben Tzur Yoav', 'Berko Anat', 'German Yael', 'Hasson Yoel', 'Maklev Uri', 'Nahmias-Verbin Ayelet', 'Swid Revital', 'Saadi Osama', 'Folkman Roy']","{'Kisch Yoav': 2785, 'Eichler Israel': 42, 'Ilatov Robert': 0, 'Bitan David': 0, 'Ben Tzur Yoav': 0, 'Berko Anat': 9, 'German Yael': 14, 'Hasson Yoel': 311, 'Maklev Uri': 0, 'Nahmias-Verbin Ayelet': 0, 'Swid Revital': 0, 'Saadi Osama': 15, 'Folkman Roy': 0}",20_ptv_383542.json,
4,05/08/2017,20,6,0,4170,695,0,0,"['Bitan David', 'Ilatov Robert', 'Yonah Yoseph', 'Cabel Eitan', 'Folkman Roy', 'Kisch Yoav']","{'Bitan David': 2299, 'Ilatov Robert': 378, 'Yonah Yoseph': 515, 'Cabel Eitan': 911, 'Folkman Roy': 57, 'Kisch Yoav': 10}",20_ptv_383553.json,
257,05/15/2017,20,5,3,5681,1136,2500,833,"['Kisch Yoav', 'Ilatov Robert', 'Bitan David', 'Tibi Ahmad', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Kisch Yoav': 3869, 'Ilatov Robert': 995, 'Bitan David': 0, 'Tibi Ahmad': 56, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 1390, 'Nahmias-Verbin Ayelet': 1110, 'Folkman Roy': 761}",20_ptv_383898.json,
3,05/08/2017,20,3,1,4892,1630,271,271,"['Bitan David', 'Folkman Roy', 'Nahmias-Verbin Ayelet', 'Frej Esawi']","{'Bitan David': 3667, 'Folkman Roy': 1038, 'Nahmias-Verbin Ayelet': 271, 'Frej Esawi': 187}",20_ptv_384405.json,
255,05/10/2017,20,5,1,3742,748,306,306,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Ohana Amir', 'Neguise Avraham', 'Nahmias-Verbin Ayelet', 'Stern Elazar']","{'Kisch Yoav': 2720, 'Abu Maaruf Abdullah': 0, 'Ohana Amir': 421, 'Neguise Avraham': 292, 'Nahmias-Verbin Ayelet': 306, 'Stern Elazar': 309}",20_ptv_384408.json,
6,05/09/2017,20,8,2,4320,540,1982,991,"['Bitan David', 'Moalem-Refaeli Shuli', 'Ilatov Robert', 'Ben Tzur Yoav', 'Yonah Yoseph', 'Cabel Eitan', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Kisch Yoav', 'Stern Elazar']","{'Bitan David': 1608, 'Moalem-Refaeli Shuli': 1751, 'Ilatov Robert': 0, 'Ben Tzur Yoav': 41, 'Yonah Yoseph': 25, 'Cabel Eitan': 2199, 'Nahmias-Verbin Ayelet': 231, 'Folkman Roy': 447, 'Kisch Yoav': 0, 'Stern Elazar': 0}",20_ptv_384410.json,
7,05/09/2017,20,7,2,7779,1111,426,213,"['Bitan David', 'Ohana Amir', 'Ilatov Robert', 'Asher Yakov', 'Ben Tzur Yoav', 'Cabel Eitan', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet', 'Folkman Roy']","{'Bitan David': 6990, 'Ohana Amir': 8, 'Ilatov Robert': 30, 'Asher Yakov': 2, 'Ben Tzur Yoav': 77, 'Cabel Eitan': 307, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 426, 'Folkman Roy': 365}",20_ptv_384411.json,
12,05/07/2017,20,8,3,13250,1656,1213,404,"['Bitan David', 'Cabel Eitan', 'Ohana Amir', 'Ilatov Robert', 'Yonah Yoseph', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Frej Esawi', 'Koren Nurit', 'Kisch Yoav']","{'Bitan David': 8828, 'Cabel Eitan': 1299, 'Ohana Amir': 438, 'Ilatov Robert': 649, 'Yonah Yoseph': 554, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 781, 'Folkman Roy': 766, 'Frej Esawi': 646, 'Koren Nurit': 432, 'Kisch Yoav': 70}",20_ptv_384898.json,
12,05/07/2017,20,8,3,13250,1656,1213,404,"['Bitan David', 'Cabel Eitan', 'Ohana Amir', 'Ilatov Robert', 'Yonah Yoseph', 'Moalem-Refaeli Shuli', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Frej Esawi', 'Koren Nurit', 'Kisch Yoav']","{'Bitan David': 8828, 'Cabel Eitan': 1299, 'Ohana Amir': 438, 'Ilatov Robert': 649, 'Yonah Yoseph': 554, 'Moalem-Refaeli Shuli': 0, 'Nahmias-Verbin Ayelet': 781, 'Folkman Roy': 766, 'Frej Esawi': 646, 'Koren Nurit': 432, 'Kisch Yoav': 70}",20_ptv_384899.json,
5,05/08/2017,20,9,2,24595,2732,2441,1220,"['Bitan David', 'Moalem-Refaeli Shuli', 'Perry Yaakov', 'Ilatov Robert', 'Zohar Miki', 'Yonah Yoseph', 'Cabel Eitan', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Frej Esawi', 'Kisch Yoav']","{'Bitan David': 16452, 'Moalem-Refaeli Shuli': 1781, 'Perry Yaakov': 1497, 'Ilatov Robert': 1397, 'Zohar Miki': 164, 'Yonah Yoseph': 452, 'Cabel Eitan': 2690, 'Nahmias-Verbin Ayelet': 660, 'Folkman Roy': 890, 'Frej Esawi': 429, 'Kisch Yoav': 624}",20_ptv_384900.json,
1,04/25/2017,20,10,3,9989,998,3458,1152,"['Bitan David', 'Kisch Yoav', 'Cabel Eitan', 'Moalem-Refaeli Shuli', 'Ilatov Robert', 'Asher Yakov', 'Ben Tzur Yoav', 'Zohar Miki', 'Nahmias-Verbin Ayelet', 'Yonah Yoseph', 'Folkman Roy', 'Frej Esawi', 'Koren Nurit']","{'Bitan David': 5508, 'Kisch Yoav': 648, 'Cabel Eitan': 948, 'Moalem-Refaeli Shuli': 1467, 'Ilatov Robert': 5, 'Asher Yakov': 26, 'Ben Tzur Yoav': 0, 'Zohar Miki': 898, 'Nahmias-Verbin Ayelet': 1426, 'Yonah Yoseph': 550, 'Folkman Roy': 31, 'Frej Esawi': 1375, 'Koren Nurit': 565}",20_ptv_385103.json,
11,03/06/2017,20,6,2,6088,1014,1123,561,"['Kisch Yoav', 'Abu Maaruf Abdullah', 'Eichler Israel', 'German Yael', 'Hasson Yoel', 'Saadi Osama', 'Folkman Roy', 'Rozin Michal']","{'Kisch Yoav': 1966, 'Abu Maaruf Abdullah': 0, 'Eichler Israel': 116, 'German Yael': 1123, 'Hasson Yoel': 2665, 'Saadi Osama': 671, 'Folkman Roy': 670, 'Rozin Michal': 0}",20_ptv_385442.json,
226,03/14/2017,20,5,3,3179,635,1126,375,"['Kisch Yoav', 'Ohana Amir', 'Hasson Yoel', 'Moalem-Refaeli Shuli', 'Michaeli Merav', 'Nahmias-Verbin Ayelet', 'Folkman Roy', 'Stern Elazar']","{'Kisch Yoav': 2515, 'Ohana Amir': 0, 'Hasson Yoel': 296, 'Moalem-Refaeli Shuli': 0, 'Michaeli Merav': 494, 'Nahmias-Verbin Ayelet': 632, 'Folkman Roy': 136, 'Stern Elazar': 232}",20_ptv_385443.json,
7,05/29/2017,20,2,0,834,417,0,0,"['Kisch Yoav', 'Gafni Moshe']","{'Kisch Yoav': 801, 'Gafni Moshe': 33}",20_ptv_385456.json,
262,05/29/2017,20,3,1,1285,428,491,491,"['Kisch Yoav', 'Ben Tzur Yoav', 'Bitan David', 'Nahmias-Verbin Ayelet']","{'Kisch Yoav': 744, 'Ben Tzur Yoav': 489, 'Bitan David': 52, 'Nahmias-Verbin Ayelet': 491}",20_ptv_385457.json,
